Department,Department_Name,Division,Gender,Base_Salary,Overtime_Pay,Longevity_Pay,Grade,Grade range
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,46638.1343,0,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,57006.7205,2194.05,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,68326.2786,15320.99,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,44692.4084,1000.48,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,43600.4357,4194.09,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,56714.4705,7560.81,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,48938.065,281.74,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,54868.2486,2525.85,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,42126.025,3153,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,42126.025,1182.87,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,63480.1621,11486.92,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,42277.68,1472.07,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,42277.68,2051.65,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,51080.82,1791.42,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,66562,3148.64,572.54,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,69342,2440.69,2537.57,13,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,86103,1949.09,0,65,C
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,54730.5207,127.73,0,13,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,F,76668,3226.54,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,53572.5052,8382.14,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,57393.1572,3619.48,0,13,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,55662.7289,12204.94,0,13,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,46468.8889,2123.38,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,48825.9389,4492.32,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,92986.002,25399.32,0,67,C
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,46468.6211,11466.39,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,51641.5688,10848.36,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,51641.5688,4998.25,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,49039.0312,3892.88,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,50558.8572,2536.11,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,46468.6263,3509.92,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,48826.3791,3714.55,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,50073.5668,3262.57,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,46468.6211,632.65,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,45729.48,6845.84,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,46681.2841,1529.66,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,45153.34,1368.57,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,46862.73,2570.35,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,43724,1330,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,66562,4908.34,1907.4,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,69342,930.73,5380.04,13,A
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,69342,548.68,5380.04,13,A
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,69342,6732.45,5380.01,13,A
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,66562,7000.21,3137.75,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,57561.1182,349.88,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,F,55822.265,6155.94,0,13,A
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,57376.01,2171.53,0,13,A
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,57877.7277,5792.53,0,13,A
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,57877.7277,508.79,0,13,A
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,57003.2323,802.16,0,13,A
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,57003.2162,494.68,0,13,A
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,57571.7086,1688.45,0,13,A
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,69805.565,5750.34,0,64,C
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,51918.8229,5680.51,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,64829.57,6894.97,0,65,C
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,48565.6792,240.87,0,13,A
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,166140.03,0,0,55,B
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,85614.4272,0,0,22,A
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,99235.0745,1530.34,0,22,A
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,93334.247,0,0,72,C
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,65380.48,377.81,0,22,A
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,117424,0,0,72,C
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,75390,0,0,18,A
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,77451.154,0,0,18,A
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,98348,0,0,22,A
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,64633,0,0,16,A
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,53573,0,0,18,A
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,61240,6686.57,987.5,10,A
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,61240,1211.31,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,61240,6048.36,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,82146.3286,18657.36,0,65,C
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,75521,285.84,3558.81,15,A
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,75521.0032,7168.3,3562.82,15,A
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,75521,1543.94,3562.56,15,A
ABS,Alcohol Beverage Services,ABS 85 Wholesale Operations,M,98228,0,0,21,A
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,54048,1472.54,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,48230,2654.45,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,87927,0,0,67,C
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,72463,1182.12,5633.72,14,A
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,70451.4508,0,0,65,C
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,F,47447.9101,1302.22,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,F,57239.9985,526.86,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,24047.6545,6.3,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,93202.575,230.05,0,68,C
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,22627.17,922.94,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,21862,37.54,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,98228,0,0,68,C
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,72463,137.52,3420.64,14,A
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,66846.7361,10.71,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,70660.89,0,0,65,C
ABS,Alcohol Beverage Services,ABS 85 Cabin John,F,45774.7154,1141.78,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Cabin John,F,44753.6894,697.56,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,24779.5525,226.32,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,21862,863.98,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,M,94329.8444,1034.41,0,68,C
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,F,85308.7344,2287.24,0,65,C
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,F,60694.9736,368.05,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,M,24779.2732,314.28,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,F,22627.17,23.51,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,F,21862,77.33,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,72463,142.57,724.64,14,A
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,84810.2485,1422.37,0,68,C
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,71207.1769,391.51,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,68130,88.62,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,47447.9116,28.67,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,45774.7154,1006.4,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Cloverly,F,27031.164,153.9,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,21862,125.44,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Darnestown,M,72463,499.8,1177.54,14,A
ABS,Alcohol Beverage Services,ABS 85 Darnestown,M,90375.0551,0,0,68,C
ABS,Alcohol Beverage Services,ABS 85 Darnestown,M,72463,523.47,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Darnestown,M,45774.7317,102.8,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Darnestown,F,45774.7154,180.84,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Darnestown,F,62781.9343,1055.16,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Darnestown,F,68473.5024,0,0,65,C
ABS,Alcohol Beverage Services,ABS 85 Darnestown,F,21862,0,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Director,F,236000,0,0,43,B
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,F,48889.6576,831.9,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Director's Office,M,82784.3252,486.18,0,18,A
ABS,Alcohol Beverage Services,ABS 85 Director's Office,F,133087.1035,717.7,0,75,C
ABS,Alcohol Beverage Services,ABS 85 Director's Office,F,82780.3811,436.44,0,18,A
ABS,Alcohol Beverage Services,ABS 85 Director's Office,M,86103,32.93,6836.38,18,A
ABS,Alcohol Beverage Services,ABS 85 Director's Office,F,134490,0,5647.8,75,C
ABS,Alcohol Beverage Services,ABS 85 Director's Office,F,85109.83,241.8,0,68,C
ABS,Alcohol Beverage Services,ABS 85 Director's Office,F,86103,471.76,0,18,A
ABS,Alcohol Beverage Services,ABS 85 Director's Office,M,40625.8,0,0,63,C
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,72463,361.57,3420.79,14,A
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,52256.6,311.09,568.05,12,A
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,72463,24.33,1006.37,14,A
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,F,87522.4427,2319.31,0,68,C
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,62607.646,1290.64,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,43419.9874,498.38,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,F,56701.6433,1427.09,0,65,C
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,22627.17,8167.93,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,21862,0,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,21862,70.32,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,F,72463.0002,801.89,2204.91,14,A
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,F,33286,539.27,1479.28,12,A
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,F,68435.09,1103.48,0,65,C
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,M,62820.3373,1248.39,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,M,21862,473.55,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,M,91811.02,263.51,0,68,C
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,80239.2046,0,0,68,C
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,F,72463,183.44,3420.8,14,A
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,78883.0226,131.98,0,65,C
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,46144.8794,9452.78,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,46144.8787,3652.65,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,F,22627.17,55.94,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,F,98228,0,0,68,C
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,21862,268.41,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,82733.0916,942.71,0,65,C
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,F,62820.332,992.74,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,72548.2339,455.28,0,68,C
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,47082.115,267.55,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,51455.0553,2287.77,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,24047.6545,486.46,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,21864.1,74.37,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,F,21862,0,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,21862,0,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,52256.6,113.26,4332.4,12,A
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,66083.4184,3066.54,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,75133.4094,0,0,65,C
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,63215.25,5231.03,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,45774.7317,3165.35,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,F,60908.636,5322.71,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,22540.3425,2.85,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,19494.5,0,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,19494.5,0,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,92457.654,1280.88,0,68,C
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,F,21862,0,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,98228,0,0,68,C
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,86103.0015,573.86,3665.73,65,C
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,64631.0773,1800.35,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,F,65140.88,382.3,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,43981.5001,0,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,F,44574.4143,710.12,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,22540.3425,223,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,21862,0,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,21862,5.68,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,21862,109.14,0,12,A
ABS,Alcohol Beverage Services,ABS 85 IT Administration,M,151930,0,0,56,B
ABS,Alcohol Beverage Services,ABS 85 IT Administration,F,122842,0,5740.66,26,A
ABS,Alcohol Beverage Services,ABS 85 IT Administration,M,89938,5782.75,4560.73,19,A
ABS,Alcohol Beverage Services,ABS 85 IT Administration,M,119462,0,0,73,C
ABS,Alcohol Beverage Services,ABS 85 IT Administration,F,130167,0,0,75,C
ABS,Alcohol Beverage Services,ABS 85 IT Administration,F,110149.27,0,0,26,A
ABS,Alcohol Beverage Services,ABS 85 IT Administration,M,133713,14078.74,0,75,C
ABS,Alcohol Beverage Services,ABS 85 Kensington,F,77646.3409,81.16,0,65,C
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,94479.4474,840.32,0,68,C
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,24047.5014,311.45,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Kensington,F,62607.6301,865.22,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,41933.15,357.06,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,56276.881,155.41,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,23340.6394,57.08,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,23340.6394,178.75,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,21862,69.72,0,12,A
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,98228,244.39,0,68,C
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,52256.6,469.12,4607.03,12,A
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,66690.4462,182.37,0,14,A
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,43248.8667,455.4,0,12,A
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,24047.9227,2.13,0,12,A
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,52214.6486,1093.83,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Kingsview,M,98228,0,4186.89,68,C
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,86103,0,0,65,C
ABS,Alcohol Beverage Services,ABS 85 Kingsview,M,72463,308.82,1394.88,14,A
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,52256.6,906.11,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,45774.7115,518.85,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,62607.646,172.78,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Kingsview,M,41933.1365,915.56,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,21862,164.05,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Leisure World,F,72463.002,4680.01,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Leisure World,F,79925.1894,0,0,65,C
ABS,Alcohol Beverage Services,ABS 85 Leisure World,M,98228,0,0,68,C
ABS,Alcohol Beverage Services,ABS 85 Leisure World,F,44753.6894,1567.22,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Leisure World,M,55527.9205,32.57,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Leisure World,M,23340.6394,570.03,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Leisure World,F,21862,89.69,0,12,A
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,102682,283.71,0,22,A
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,117424,0,1761.4,72,C
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,102682,0,8175.57,22,A
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,102682,889.83,1668.68,22,A
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,102682,0,0,22,A
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,M,48528.622,1145.51,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,M,45774.74,253.32,0,12,A
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,M,61489.1622,287.07,0,14,A
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,69342,1185.86,1067.77,10,A
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,61240,2901.82,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,69441.8833,5799.05,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,71087.4053,1556.1,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,51571.028,6516.78,0,10,A
